id,name,host_id,host_since,host_total_listings_count,latitude,longitude,neighbourhood_cleansed,property_type,room_type,square_feet,price,review_scores_rating,z_score
36204890,Habitación y amenidades al sur de la CDMX,272292738,2019-06-29,1,19.27236,-99.1527,Tlalpan,Tiny house,Private room,,290.0,97.0,-0.22852781271469608
36207681,Cute mini depa near WTC; excellent location.,218080886,2018-09-30,6,19.39166,-99.18075999999999,Benito Juárez,Apartment,Entire home/apt,,543.0,97.0,-0.16809756510519863
36208137,"Depto ejecutivo, cerca Roma y Condesa",216651944,2018-09-21,2,19.40214,-99.15686,Benito Juárez,Condominium,Entire home/apt,,847.0,94.0,-0.09548572608034797
36208414,Foro sol / Aeropuerto . Una escapada en tu ciudad,211821055,2018-08-26,5,19.40645,-99.07493000000001,Iztacalco,Apartment,Private room,,379.0,99.0,-0.2072697414212365
36208629,"Habitación colonia del Valle, hospital 20 de nov",184310375,2018-04-14,1,19.372770000000003,-99.16931,Benito Juárez,Apartment,Private room,,379.0,100.0,-0.2072697414212365
36209830,Departamento cómodo con excelente ubicación,272339515,2019-06-29,1,19.4542,-99.13573000000001,Cuauhtémoc,Apartment,Entire home/apt,,792.0,98.0,-0.10862273643023872
36210613,Exclusive room beside Palacio de Hierro Polanco P2,4647678,2013-01-09,11,19.43586,-99.20548000000001,Miguel Hidalgo,Condominium,Private room,,1591.0,95.0,0.08222219574362867
36211208,Room junto al Palacio de Hierro Polanco P3,4647678,2013-01-09,11,19.43585,-99.20329,Miguel Hidalgo,Condominium,Private room,,1290.0,97.0,0.010326920919681135
36211502,XOCHIMILCO HERMOSA SUITE PLANTA ALTA,145215359,2017-08-09,2,19.24609,-99.0927,Xochimilco,House,Private room,,379.0,100.0,-0.2072697414212365
36226730,Departamento 602 Tlacopac,157413777,2017-11-04,5,19.34574,-99.21406999999999,Álvaro Obregón,Condominium,Entire home/apt,,1493.0,,0.05881443184745971
36228851,Bonito departamento privado a 5 min del aeropuerto,165114307,2017-12-31,4,19.443479999999997,-99.08698000000001,Venustiano Carranza,Guesthouse,Entire home/apt,,357.0,90.0,-0.2125245455611928
36229268,¡ Excelente ubicación para tu estancia en CDMX !,272487362,2019-06-30,1,19.436339999999998,-99.15867,Cuauhtémoc,Apartment,Entire home/apt,,591.0,,-0.15663253789074855
36234687,Bella habitación en la Hipódromo - Condesa,422574,2011-03-04,2,19.409979999999997,-99.17244000000001,Cuauhtémoc,Apartment,Private room,,368.0,100.0,-0.20989714349121466
36235612,Neat & Hip Apartment in premium location (WTC),12130503,2014-02-10,30,19.396160000000002,-99.17738,Benito Juárez,Apartment,Entire home/apt,,1856.0,95.0,0.14551870015673865
36237156,Amplia habitación a 15 min del Aeropuerto yForoSol,103321045,2016-11-11,1,19.40781,-99.07634,Iztacalco,Apartment,Private room,,201.0,,-0.24978588400815566
